window_label,start_hour,end_hour,center_hour,center_hour_mod,n_obs,n_zones,rho_noise_ceiling,rho_noise_ceiling_std,R2_noise_ceiling,R2_noise_ceiling_std,n_days_used,n_day_pairs_used,n_total_valid_trials
017.5-020.5,17.5,20.5,19.0,19.0,8676,30,0.40824444820014544,0.45278762035081277,0.3716787928532344,0.3657869169661501,102,1508,150110
018.0-021.0,18.0,21.0,19.5,19.5,8595,30,0.4048413334304961,0.47471907860454554,0.3892532946197073,0.37542341481946284,100,1603,159351
018.5-021.5,18.5,21.5,20.0,20.0,8541,30,0.3924566037696803,0.48601529829531565,0.3902314182707268,0.3778603667724671,99,1451,144229
019.0-022.0,19.0,22.0,20.5,20.5,8594,30,0.40267351368551985,0.5034487493813313,0.4156049313729229,0.3868971835975645,101,1529,151727
019.5-022.5,19.5,22.5,21.0,21.0,8787,30,0.39848227012739085,0.5005157745674931,0.40930266130342985,0.385228590955189,100,1684,167134
020.0-023.0,20.0,23.0,21.5,21.5,8957,30,0.39092811189991894,0.46569725452377214,0.36969738207248276,0.36852848293757334,101,1627,161910
020.5-023.5,20.5,23.5,22.0,22.0,9124,30,0.39700381702047,0.4783065371341001,0.38638776393073615,0.3760700238427014,99,1632,162223
021.0-000.0,21.0,24.0,22.5,22.5,9208,30,0.4043999235212924,0.48131172663122457,0.395198862951088,0.37894390670352845,98,1650,163905
021.5-000.5,21.5,24.5,23.0,23.0,9284,30,0.39741927371540864,0.45744542368562013,0.3671974894564171,0.36324227054839103,106,2322,231142
022.0-001.0,22.0,25.0,23.5,23.5,9251,30,0.41143276954118213,0.4575643469143744,0.37864117420491233,0.3657465719686387,106,2388,237587
022.5-001.5,22.5,25.5,24.0,0.0,9158,30,0.4125522304681525,0.4417777501965511,0.365366106996189,0.35737941130517986,107,2401,239048
023.0-002.0,23.0,26.0,24.5,0.5,9038,30,0.41515319681449103,0.4421091429831487,0.36781183186292743,0.35754387745459865,106,2338,232893
023.5-002.5,23.5,26.5,25.0,1.0,8931,30,0.4100483136505273,0.4634616069040553,0.3829353436356584,0.3678036649560594,106,2304,229247
