feature,start_hour,window_label,center_hour,center_hour_mod,W_obs_full,W_boot_mean,W_boot_std,W_null_mean,W_null_std,W_t_stat,W_p_ttest,W_n_null_valid
EVNtCount_z,22.0,022.0-001.0,23.5,23.5,0.028175293918143256,-0.03510255546489715,0.0817554365218166,-0.0076615166786600745,0.10975635795169807,4.617582482146405,6.957316145654961e-06,200
MEANf_z,22.5,022.5-001.5,24.0,0.0,0.132802945865818,0.029370540287409423,0.05831113973028804,0.007925717655833147,0.07767760876307372,22.735389590169,3.1627040033766866e-57,200
VARf_z,22.5,022.5-001.5,24.0,0.0,0.019720241900541054,0.01921162289583683,0.06052580490191465,0.0052312148537251605,0.06948250441098729,2.9490270578038422,0.003569461129751043,200
SKEWf_z,22.5,022.5-001.5,24.0,0.0,0.005215554919981591,-0.023777518642609956,0.1065863784526349,-0.015209254166671873,0.17189101288762865,1.6804277043913722,0.09444313453199782,200
KURTf_z,22.5,022.5-001.5,24.0,0.0,0.0840021012512557,0.06081825522980479,0.07547191821338074,-0.00955779278776148,0.13571920838214124,9.74907477146606,1.3230787316191728e-18,200
NBPEAKS_z,22.5,022.5-001.5,24.0,0.0,-0.2115851734752229,-0.14288369406458737,0.09941568122394062,-0.0030512892563169334,0.1459290707631235,-20.20923217933915,4.133556396835435e-50,200
LEQf_z,22.5,022.5-001.5,24.0,0.0,0.21716667205686116,0.20066876937578526,0.06850081107417379,0.00980628096107594,0.16483209835778598,17.790944865005212,5.298900687864173e-43,200
ENRf_z,22.5,022.5-001.5,24.0,0.0,0.1767985920950427,0.20431628031207386,0.06180268536491633,0.009621618775387466,0.1698658724682476,13.918272078420891,3.3731757658663117e-31,200
BGNf_z,22.5,022.5-001.5,24.0,0.0,0.38554966894989534,0.35343474662846835,0.06684097990283717,0.024112071084625583,0.18894129667431728,27.053373817673062,1.3624897836939466e-68,200
SNRf_z,22.5,022.5-001.5,24.0,0.0,0.10075176649019739,0.08255992146188243,0.07723569387838339,-0.0017770532916156561,0.08001396092404367,18.12154351503627,5.460963485947517e-44,200
Hf_z,22.5,022.5-001.5,24.0,0.0,0.029938478818410975,0.0742098336170712,0.0828824571608355,-0.006384119029123094,0.13319204697426762,3.8566800093199727,0.00015515714634357095,200
EAS_z,22.5,022.5-001.5,24.0,0.0,0.08666205855119907,0.06810673863820571,0.08205745878626006,-0.003367179886238493,0.07455125184730116,17.078260505823355,7.345929816951133e-41,200
ECU_z,22.5,022.5-001.5,24.0,0.0,0.10723935586971862,0.1336402531190288,0.09160254068547966,0.010718799203403039,0.23118295950280499,5.904443847369649,1.506647865659134e-08,200
ECV_z,22.5,022.5-001.5,24.0,0.0,-0.019450407270485554,-0.0008378911628236183,0.07475732686343074,0.003647626765176741,0.13353915340140982,-2.4461404887897182,0.015308161347798428,200
