window_label,start_hour,end_hour,center_hour,center_hour_mod,n_obs,n_zones,rho_obs,R2_obs,R2_boot_mean,R2_boot_std,R2_ci_low,R2_ci_high,p_perm_empirical,t_stat_perm,p_t_perm
005.0-008.0,5.0,8.0,6.5,6.5,7819,30,-0.005321662974332024,2.832009681237637e-05,0.0004462836443163123,0.0006507463809593484,9.786719134921817e-07,0.0020671452764541597,0.93812375249501,-2.566601253877467,0.010560631016556462
005.5-008.5,5.5,8.5,7.0,7.0,8070,30,0.006787286914490257,4.6067263659610676e-05,0.0004167414103360993,0.000600264490711248,1.1912359627662945e-06,0.002164797849360338,0.9181636726546906,2.904901878899718,0.0038366973057260244
006.0-009.0,6.0,9.0,7.5,7.5,8435,30,0.011319458350199122,0.00012813013734189264,0.0004128719706891961,0.0006352876275020272,2.619686561975818e-06,0.0024455810683443025,0.8483033932135728,3.0160609431273264,0.0026914055497284125
006.5-009.5,6.5,9.5,8.0,8.0,8771,30,0.00929874031294503,8.646657140758905e-05,0.0005192628178888397,0.0006789962187543609,8.11321955955837e-06,0.0022458506430757677,0.9021956087824351,2.7597794728896035,0.005996741833896193
007.0-010.0,7.0,10.0,8.5,8.5,9145,30,0.011577258968415577,0.0001340329252217589,0.00031647124245291124,0.0005585789887722329,6.054048051763365e-07,0.0017283396260756943,0.8782435129740519,3.469149247139629,0.0005673168981861876
007.5-010.5,7.5,10.5,9.0,9.0,9459,30,0.01014015764984725,0.00010282279716375569,0.00044355188562288377,0.000601027640471765,7.235638248622893e-07,0.001988564380303572,0.8942115768463074,3.002530276795905,0.002811725523718625
008.0-011.0,8.0,11.0,9.5,9.5,9717,30,0.014943293990660219,0.0002233020352913018,0.0007414039484100084,0.0010038525066524036,8.109185131921377e-09,0.0035008883244195964,0.8423153692614771,5.9648225709595835,4.642680742467752e-09
008.5-011.5,8.5,11.5,10.0,10.0,9919,30,0.011991934005376514,0.00014380648118930562,0.0007937445219969477,0.0012405696673684606,9.827807405130376e-07,0.0038952295471632635,0.8902195608782435,6.190386739521755,1.2537372788155673e-09
009.0-012.0,9.0,12.0,10.5,10.5,10024,30,0.007143088335092542,5.102371096293514e-05,0.0008040390309078653,0.0011972703989343058,2.935416982383072e-07,0.003494199099012779,0.9161676646706587,2.1216637436306423,0.034358195558990376
009.5-012.5,9.5,12.5,11.0,11.0,10038,30,0.023535185232665665,0.000553904943935884,0.0008946433904037411,0.001033909330905786,2.1403169097731143e-05,0.003869081030458647,0.7325349301397206,8.257793538626684,1.3400892533026675e-15
010.0-013.0,10.0,13.0,11.5,11.5,9897,30,0.021555422754617595,0.000464636250130286,0.0009109735334557198,0.0009759887948038103,4.8354042888886796e-05,0.003152122453117282,0.7584830339321357,7.323776282695356,9.741255650798625e-13
010.5-013.5,10.5,13.5,12.0,12.0,9840,30,0.030887439459417517,0.0009540339163591823,0.0015760145469666457,0.0029305707960545916,0.00011542239145829068,0.007542736531482621,0.6487025948103793,11.60939692760854,9.515397112895873e-28
011.0-014.0,11.0,14.0,12.5,12.5,9750,30,0.03393789727099435,0.0011517808711765656,0.0016110039781020902,0.0018469644165089417,0.00012876165901550744,0.006359884979473792,0.6167664670658682,8.750485267279252,3.2856669684744695e-17
011.5-014.5,11.5,14.5,13.0,13.0,9669,30,0.02460332084374406,0.0006053233965402109,0.0010204673605279607,0.0021170145147364934,7.681520286623033e-07,0.006316967150154259,0.7345309381237525,8.742143087537624,3.5030639261313497e-17
012.0-015.0,12.0,15.0,13.5,13.5,9594,30,0.020452182378505473,0.0004182917640436498,0.0013089453673328618,0.0016121292992748474,5.6013195971665084e-05,0.005502962218761199,0.7724550898203593,7.855568684589403,2.4603866297952778e-14
012.5-015.5,12.5,15.5,14.0,14.0,9614,30,0.02035089050439773,0.00041415874432198564,0.0008350597095785969,0.001131974420313576,1.3976901741595657e-06,0.0034536527468394785,0.7584830339321357,6.517338214367773,1.7533813007908827e-10
013.0-016.0,13.0,16.0,14.5,14.5,9633,30,0.02503189151686418,0.0006265955929120569,0.0008174231613689308,0.0005856088841559662,1.9034877658550824e-05,0.0018534835347154815,0.7265469061876247,7.213143463748642,2.0424790588332116e-12
013.5-016.5,13.5,16.5,15.0,15.0,9552,30,0.027818332241416506,0.0007738596086938331,0.0011690457596386743,0.0009920778339595536,4.7270833666694556e-05,0.003430908252436907,0.6646706586826348,8.879459000496025,1.2135524778951341e-17
014.0-017.0,14.0,17.0,15.5,15.5,9523,30,0.024447543448906883,0.0005976823806861898,0.0010476553602445115,0.00086419695830348,3.630369719845697e-06,0.0031488362272026186,0.688622754491018,7.861630102134552,2.3567111148000605e-14
014.5-017.5,14.5,17.5,16.0,16.0,9430,30,0.027794929064727355,0.0007725580817132255,0.0009257254842836575,0.0008760708905176819,1.1117869346116239e-05,0.0029419605242183323,0.654690618762475,9.34273348111274,3.1193734889976654e-19
015.0-018.0,15.0,18.0,16.5,16.5,9371,30,0.03792411647550156,0.001438238610447409,0.0016552870296322284,0.0014628004291037111,2.897850539597341e-05,0.0048431521189612765,0.5169660678642715,15.202408662665423,3.637724169904005e-43
015.5-018.5,15.5,18.5,17.0,17.0,9269,30,0.04595323445306003,0.0021116997566979034,0.002806226813910487,0.0022524511740675654,0.00045823849532067,0.009544880943936053,0.3712574850299401,18.534066708245618,9.797996205056922e-59
016.0-019.0,16.0,19.0,17.5,17.5,9177,30,0.05704597452908297,0.003254243209972783,0.00439157079071487,0.0032683255764825695,0.0006401960750572343,0.014875484896291933,0.26746506986027946,20.63192482936864,7.61664591577494e-69
