feature,W_obs_full,W_boot_mean,W_boot_std,W_boot_mean_test,W_boot_std_test,W_n_boot_valid,W_null_mean,W_null_std,W_n_null_valid,W_t_stat,W_p_ttest,sign_consistency,delta_mean,effect_size,abs_effect_size,p_fdr,significant_fdr,significant_vs_null,stars,abs_W_obs_full
MEANf_z,0.2457937068160978,0.02901790657785552,0.19588830244752956,0.029017906577855527,0.19588830244752958,30,0.00084724614912709,0.19627840460855792,300,0.7508861978162101,0.45772865443701016,0.5666666666666667,0.02817066042872844,0.14366669064180693,0.14366669064180693,0.6698468113712344,False,False,ns,0.2457937068160978
ECU_z,0.2273743660775806,0.344675300999417,0.1704623174241822,0.3446753009994169,0.17046231742418222,30,0.036432095072953564,0.31261605595770897,300,8.567791136100569,1.837610000394126e-11,0.9666666666666667,0.3082432059264633,1.2242567801024051,1.2242567801024051,3.675220000788252e-10,True,True,***,0.2273743660775806
EVNspCount_z,-0.18632636920960943,-0.1141775272363598,0.2014011964544516,-0.11417752723635982,0.2014011964544516,30,-0.005725784598633743,0.20910717261211165,300,-2.8022358089146038,0.008162161368628209,0.7666666666666667,-0.10845174263772608,-0.5282846720933525,0.5282846720933525,0.03208957611598847,True,True,**,0.18632636920960943
AEI_z,-0.18406512898955732,-0.07825517904384996,0.20293294510658297,-0.07825517904384996,0.20293294510658297,30,0.01121810552273403,0.2163888020211783,300,-2.2883220032548284,0.028107660997287686,0.7,-0.08947328456658399,-0.42653286445500127,0.42653286445500127,0.07026915249321922,False,True,*,0.18406512898955732
ACTspMean_z,0.18340611276123453,0.057904752451750564,0.20929471487600457,0.05790475245175058,0.2092947148760046,30,-0.0016559283547682283,0.18710629044889887,300,1.4999129336128112,0.14292078807657832,0.6,0.05956068080651881,0.30003754753173206,0.30003754753173206,0.26797647764358434,False,False,ns,0.18340611276123453
VARt_z,0.1823691457897895,-0.007432335303358854,0.1596742574464151,-0.007432335303358854,0.1596742574464151,30,-0.021964217814590885,0.18104578318778472,300,0.46922939174481476,0.6416682116798159,0.5333333333333333,0.014531882511232032,0.08513370465837884,0.08513370465837884,0.7857161775671215,False,False,ns,0.1823691457897895
ACTspCount_z,0.17535222810633178,-0.07585736320687379,0.2216653514521668,-0.07585736320687379,0.2216653514521668,30,0.00482294446829833,0.20887274132305234,300,-1.9105488243596513,0.064438334266119,0.6666666666666666,-0.08068030767517212,-0.3746229084620126,0.3746229084620126,0.1333206915850738,False,False,ns,0.17535222810633178
LFC_z,-0.1740472645872024,-0.01794884695110875,0.19656867437407552,-0.017948846951108745,0.19656867437407552,30,-0.007672579813703539,0.18616932115151516,300,-0.2743016546225838,0.7854929372566812,0.5666666666666667,-0.010276267137405206,-0.053678893010872905,0.053678893010872905,0.8415995756321585,False,False,ns,0.1740472645872024
NDSI_z,-0.16599470308580513,-0.028845229288171924,0.19529500417950382,-0.028845229288171934,0.19529500417950382,30,0.007486774767024101,0.3052884064462991,300,-0.9134504990094017,0.3659123754011954,0.6333333333333333,-0.036332004055196036,-0.1417764001337883,0.1417764001337883,0.5933714195695061,False,False,ns,0.16599470308580513
EPS_KURT_z,0.15995473335781982,0.08115957027408748,0.16785802705805292,0.08115957027408748,0.16785802705805292,30,0.017899453998387375,0.21432088298845164,300,1.914055985699876,0.06294796149746684,0.6666666666666666,0.0632601162757001,0.32863005971067044,0.32863005971067044,0.1333206915850738,False,False,ns,0.15995473335781982
AGI_z,0.15951048686843583,0.009887954469355689,0.1980143919015745,0.00988795446935568,0.1980143919015745,30,0.008331888114416496,0.1843061011085362,300,0.041290528013616386,0.9673042796842891,0.5,0.001556066354939184,0.00813488732331843,0.00813488732331843,0.9673042796842891,False,False,ns,0.15951048686843583
nROI_z,-0.1565221178444329,-0.1739166273683748,0.18777147921464474,-0.17391662736837477,0.18777147921464474,30,-0.010140071624215088,0.22296782385764577,300,-4.472388674622727,6.888863488353602e-05,0.8333333333333334,-0.16377655574415967,-0.7945602247997345,0.7945602247997345,0.0005904740132874517,True,True,***,0.1565221178444329
MEANt_z,-0.15280812281563616,0.010656255107940703,0.21697102813075128,0.010656255107940703,0.21697102813075128,30,-0.0007792128763166343,0.193304423900347,300,0.2778604785626057,0.7828138014107839,0.5,0.011435467984257337,0.05565280299927142,0.05565280299927142,0.8415995756321585,False,False,ns,0.15280812281563616
BI_z,-0.1448419715165922,-0.06689100949691952,0.21081816402310818,-0.06689100949691952,0.21081816402310818,30,-0.03052797471173028,0.3365457421593677,300,-0.843369872592163,0.40344541529505196,0.6333333333333333,-0.03636303478518924,-0.12949385889995263,0.12949385889995263,0.6313754422330131,False,False,ns,0.1448419715165922
HFC_z,-0.1405789432011375,-0.22532472632600917,0.15538986806699373,-0.22532472632600917,0.15538986806699373,30,-0.025245968547837006,0.1958863029958625,300,-6.551085492124072,9.060839162526683e-08,0.9333333333333333,-0.20007875777817216,-1.1316583592461318,1.1316583592461318,1.3591258743790024e-06,True,True,***,0.1405789432011375
SKEWf_z,-0.13862963239284615,-0.018965388745889593,0.20075481964065847,-0.0189653887458896,0.20075481964065847,30,-0.00027996957500436034,0.26306554859458775,300,-0.4709636558396887,0.6402443103269075,0.5666666666666667,-0.018685419170885238,-0.07985441338339498,0.07985441338339498,0.7857161775671215,False,False,ns,0.13862963239284615
ROU_z,0.12142706483064933,-0.007281616262914986,0.16769389864782716,-0.007281616262914988,0.16769389864782716,30,-0.013792302233525747,0.19853005800135098,300,0.19915333675553212,0.8432150911365518,0.6,0.006510685970610759,0.03543038891103698,0.03543038891103698,0.8722914735895364,False,False,ns,0.12142706483064933
LEQt_z,-0.1178431782301974,0.2008574074992642,0.18066605912639339,0.2008574074992642,0.18066605912639339,30,-0.01465257177888974,0.2436654099857316,300,6.009812557403376,4.4251651551124455e-07,0.8333333333333334,0.21550997927815393,1.0047491633733696,1.0047491633733696,5.3101981861349344e-06,True,True,***,0.1178431782301974
ACTtCount_z,-0.11608530306344977,-0.007520183794788329,0.148204942690268,-0.007520183794788327,0.148204942690268,30,-0.01166145171293897,0.20406515464747044,300,0.14032429273761518,0.8890926423439273,0.5,0.004141267918150643,0.023221746046225032,0.023221746046225032,0.9041620091633159,False,False,ns,0.11608530306344977
BioEnergy_z,0.11598768307010836,0.05756914857902374,0.16961219916451226,0.05756914857902375,0.16961219916451226,30,0.009698585311254209,0.1870412041645869,300,1.4596597239902018,0.15295382893036918,0.7,0.04787056326776955,0.2681230862128339,0.2681230862128339,0.27809787078248943,False,False,ns,0.11598768307010836
H_pairedShannon_z,-0.11435243839325555,-0.03295912160191556,0.15860230392291264,-0.032959121601915546,0.1586023039229126,30,0.009102470784819756,0.26737171198306947,300,-1.2818046916863,0.20613871289331062,0.5,-0.042061592386735305,-0.19134496002924806,0.19134496002924806,0.3637741992234893,False,False,ns,0.11435243839325555
aROI_z,-0.11394605917094293,-0.08343240769350845,0.1792253359487108,-0.08343240769350847,0.1792253359487108,30,0.00757556395927366,0.19301941099856393,300,-2.632760849327009,0.012390530708729775,0.7333333333333333,-0.09100797165278213,-0.4886330911918268,0.4886330911918268,0.03762611425889492,True,True,*,0.11394605917094293
EPS_SKEW_z,0.11278495940567639,0.019968719654092196,0.1910528908865503,0.0199687196540922,0.1910528908865503,30,-0.011037297177160862,0.22618279723171145,300,0.8324743101780564,0.41039403745145847,0.5666666666666667,0.031006016831253064,0.14810188216925055,0.14810188216925055,0.6313754422330131,False,False,ns,0.11278495940567639
H_gamma_z,0.11203875780963343,-0.09945954476645348,0.15765326412986197,-0.0994595447664535,0.15765326412986197,30,0.005294304023453709,0.24090591020616672,300,-3.2768599015839532,0.0020559914808259364,0.7333333333333333,-0.1047538487899072,-0.5145568549562505,0.5145568549562505,0.010279957404129682,True,True,**,0.11203875780963343
KURTt_z,-0.1102175021088571,-0.05949968506698012,0.19103586131581926,-0.05949968506698012,0.19103586131581923,30,0.003999159374879579,0.19130933322255997,300,-1.735636020077785,0.09140752213322356,0.6,-0.0634988444418597,-0.3321544463303036,0.3321544463303036,0.1769177847739811,False,False,ns,0.1102175021088571
EVNtMean_z,-0.10577303337221358,-0.002872950515210679,0.19401359979850966,-0.0028729505152106827,0.19401359979850966,30,0.008973893496467858,0.18710820988762644,300,-0.31990380766712384,0.7509641550199003,0.5,-0.01184684401167854,-0.06215807979855948,0.06215807979855948,0.8415995756321585,False,False,ns,0.10577303337221358
SNRt_z,-0.09941891507808517,0.02140112931434349,0.2091981463507874,0.02140112931434349,0.2091981463507874,30,0.0024465911836130576,0.20838889089611812,300,0.4733388436436714,0.63890989313954,0.5,0.018954538130730433,0.09078108680352572,0.09078108680352572,0.7857161775671215,False,False,ns,0.09941891507808517
LEQf_z,0.09566778132980767,0.1446039043827953,0.16225054442938108,0.14460390438279527,0.16225054442938108,30,0.007415954236835221,0.2392127267976077,300,4.197391074310758,0.00013377305392190468,0.8666666666666667,0.13718795014596005,0.6712171112260391,0.6712171112260391,0.0010032979044142852,True,True,***,0.09566778132980767
AnthroEnergy_z,-0.08401927365581478,-0.06272423731500945,0.19648761161472586,-0.06272423731500944,0.19648761161472586,30,0.009144996451711483,0.17630736921580165,300,-1.9273176551165543,0.06236992619788897,0.5333333333333333,-0.07186923376672091,-0.38500607019499117,0.38500607019499117,0.1333206915850738,False,False,ns,0.08401927365581478
NBPEAKS_z,-0.07132117862088218,-0.16449845747147498,0.19387162721705153,-0.16449845747147498,0.19387162721705156,30,-0.030971272240955614,0.2448384678040763,300,-3.5033436920788743,0.0011719812448358368,0.7666666666666667,-0.13352718523051937,-0.604659585223266,0.604659585223266,0.006392624971831837,True,True,**,0.07132117862088218
ZCR_z,-0.0694568618010625,-0.11162733805258537,0.19073419602687516,-0.11162733805258536,0.19073419602687514,30,-0.0033213114550715442,0.2294984222168594,300,-2.9068596838144516,0.006066910685139219,0.7,-0.10830602659751382,-0.5132783580598327,0.5132783580598327,0.026001045793453796,True,True,**,0.0694568618010625
ADI_z,-0.06501223500438152,-0.08789395060526045,0.22688958786688282,-0.08789395060526042,0.22688958786688282,30,-0.004408383232816259,0.20408631726537363,300,-1.938486718707386,0.06093665459760498,0.7,-0.08348556737244417,-0.3868845109332535,0.3868845109332535,0.1333206915850738,False,False,ns,0.06501223500438152
MED_z,-0.0642458389438948,0.0378092676220791,0.17507591410263892,0.03780926762207908,0.1750759141026389,30,0.011484213959769878,0.18806299320400932,300,0.7798136912653346,0.4405930352813845,0.5666666666666667,0.026325053662309205,0.14489350563827755,0.14489350563827755,0.6608895529220767,False,False,ns,0.0642458389438948
ACTtFraction_z,0.06300139823402401,-0.09425649985902251,0.17410977964107968,-0.09425649985902251,0.1741097796410797,30,-0.00571900023301895,0.19492143431516556,300,-2.6255710396444645,0.012542038086298307,0.6666666666666666,-0.08853749962600356,-0.47907622550002293,0.47907622550002293,0.03762611425889492,True,True,*,0.06300139823402401
EPS_z,-0.06161807323974072,0.01988776444822333,0.23268745299597113,0.019887764448223322,0.2326874529959711,30,0.0065504583368870715,0.3601025515919419,300,0.2819891662024567,0.7792647954962879,0.5666666666666667,0.01333730611133625,0.04399364310729748,0.04399364310729748,0.8415995756321585,False,False,ns,0.06161807323974072
H_Havrda_z,-0.061482188919904764,0.021709453243500692,0.20230376515613366,0.021709453243500692,0.20230376515613369,30,-0.002876426091254068,0.22106260698450117,300,0.629142145925742,0.5331968478403775,0.5666666666666667,0.02458587933475476,0.11603085227889945,0.11603085227889945,0.7439956016377359,False,False,ns,0.061482188919904764
Hf_z,0.05670067765510146,-0.10791324710231548,0.23825754072741556,-0.10791324710231551,0.23825754072741556,30,0.01562905204688835,0.25355817539061604,300,-2.6917337122659046,0.010727585901615721,0.7,-0.12354229914920385,-0.5021496972485129,0.5021496972485129,0.03583449926098106,True,True,*,0.05670067765510146
ACTtMean_z,0.053791262188076436,0.1353033878036556,0.23123347526478893,0.13530338780365564,0.23123347526478893,30,-0.024839213070144514,0.19155634413187467,300,3.669474167103179,0.0008479708434031923,0.8333333333333334,0.16014260087380017,0.7542377987665476,0.7542377987665476,0.005087825060419154,True,True,***,0.053791262188076436
ENRf_z,0.05168451253133707,0.13268237299221666,0.13424304934954207,0.13268237299221666,0.13424304934954207,30,0.0009521722508228463,0.22943031630587443,300,4.728328511742618,2.018790145031701e-05,0.8,0.13173020074139383,0.7008340194684095,0.7008340194684095,0.0002018790145031701,True,True,***,0.05168451253133707
EVNspFract_z,-0.050419550744960094,-0.09358519167134276,0.17329268780488413,-0.09358519167134276,0.17329268780488416,30,-0.007788079950508792,0.19557212919513473,300,-2.553998244247118,0.014925551463756665,0.6333333333333333,-0.08579711172083397,-0.46434918048879703,0.46434918048879703,0.04264443275359048,True,True,*,0.050419550744960094
KURTf_z,0.04727105678909833,0.07554991674646111,0.17740999381870376,0.07554991674646111,0.17740999381870376,30,0.007142502747626551,0.22594170727904048,300,1.9590534037084206,0.05727061554759012,0.7,0.06840741399883456,0.33676592235210345,0.33676592235210345,0.1333206915850738,False,False,ns,0.04727105678909833
EVNspMean_z,-0.04180066820674514,-0.09009414151458711,0.17955592887070754,-0.09009414151458711,0.17955592887070754,30,0.005951024641254402,0.18649057486088555,300,-2.7835006466313716,0.008557220297596925,0.5666666666666667,-0.09604516615584151,-0.5246761512888505,0.5246761512888505,0.03208957611598847,True,True,**,0.04180066820674514
rBA_z,-0.03700544450200062,0.009133967062310669,0.19117685147457383,0.009133967062310675,0.19117685147457386,30,-0.004076249414168418,0.18805019674701348,300,0.3613934596184951,0.7199870827884864,0.5,0.013210216476479093,0.06966680022775042,0.06966680022775042,0.8415995756321585,False,False,ns,0.03700544450200062
MFC_z,0.011999552837524022,0.09064999195946062,0.18939075078931913,0.09064999195946062,0.18939075078931913,30,-0.008990196201065144,0.2363514148398692,300,2.6804420061024086,0.010750349778294317,0.6666666666666666,0.09964018816052576,0.4652558399643535,0.4652558399643535,0.03583449926098106,True,True,*,0.011999552837524022
RAOQ_z,-0.00971560761646802,-0.00491742561238112,0.20482923233985975,-0.004917425612381107,0.20482923233985978,30,0.004593492673233726,0.22532914841906876,300,-0.24020652393848402,0.8115181342407506,0.5333333333333333,-0.009510918285614834,-0.04417041105221537,0.04417041105221537,0.8542296149902637,False,False,ns,0.00971560761646802
EVNtCount_z,-0.008160655945628807,-0.00588761259444298,0.16282937095548586,-0.00588761259444298,0.16282937095548586,30,0.0043645709289258615,0.20554828567789496,300,-0.3202847588280605,0.750467357017862,0.5,-0.010252183523368841,-0.0552907367725583,0.0552907367725583,0.8415995756321585,False,False,ns,0.008160655945628807
SKEWt_z,0.0009674987558683677,0.004105345770983342,0.1824976138711768,0.004105345770983337,0.1824976138711768,30,-0.013882475738448414,0.18647134863413717,300,0.5137104090561485,0.6106521838532122,0.5,0.01798782150943175,0.09749751458908573,0.09749751458908573,0.7857161775671215,False,False,ns,0.0009674987558683677
